model,parameter,h,time,homo_trace,hetero_trace
FHN,a,0.75,384.2768553710742,0.5908635363258179,0.33153660615947994
FHN,a,0.75,384.37687537507503,0.5890870557086704,0.33146722886868224
FHN,a,0.75,384.4768953790758,0.5872944942284634,0.33138549787581517
FHN,a,0.75,384.5769153830766,0.5854849415645236,0.3312917959370493
FHN,a,0.75,384.67693538707744,0.5836574247362132,0.331185980537361
FHN,a,0.75,384.7769553910782,0.5818109081029326,0.3310683661292479
FHN,a,0.75,384.876975395079,0.5799442933641148,0.330939354775525
FHN,a,0.75,384.97699539907984,0.5780564195592285,0.3307988208573052
FHN,a,0.75,385.0770154030806,0.5761460630677805,0.330646406023518
FHN,a,0.75,385.1770354070814,0.5742119376093103,0.33048284281340734
FHN,a,0.75,385.27705541108224,0.5722526942433928,0.3303091704789345
FHN,a,0.75,385.377075415083,0.5702669213696414,0.3301266674913599
FHN,a,0.75,385.4770954190838,0.5682531447277022,0.329936888509848
FHN,a,0.75,385.57711542308465,0.566209827397256,0.3297415813861443
FHN,a,0.75,385.67713542708543,0.5641353697980233,0.32954255673026933
FHN,a,0.75,385.7771554310862,0.5620281096897559,0.3293411789542531
FHN,a,0.75,385.877175435087,0.5598863221722428,0.3291385073572615
FHN,a,0.75,385.97719543908784,0.5577082196853069,0.32893519973400226
FHN,a,0.75,386.0772154430886,0.5554919520088104,0.32873223208103225
FHN,a,0.75,386.1772354470894,0.5532356062626473,0.32853077339711007
FHN,a,0.75,386.27725545109024,0.5509372069067471,0.3283311450270101
FHN,a,0.75,386.377275455091,0.5485947157410782,0.32813342909285503
FHN,a,0.75,386.4772954590918,0.5462060319056412,0.32793794911855456
FHN,a,0.75,386.57731546309265,0.5437689918804717,0.32774495515431995
FHN,a,0.75,386.6773354670934,0.541281369485645,0.32755451056137835
FHN,a,0.75,386.7773554710942,0.5387408758812677,0.3273661876383842
FHN,a,0.75,386.87737547509505,0.5361451595674821,0.3271795185884278
FHN,a,0.75,386.97739547909583,0.5334918063844699,0.32699387464996926
FHN,a,0.75,387.0774154830966,0.5307783395124441,0.32680820469504857
FHN,a,0.75,387.1774354870974,0.5280022194716548,0.3266213470143814
FHN,a,0.75,387.27745549109824,0.5251608441223856,0.32643102516732014
FHN,a,0.75,387.377475495099,0.5222515486649608,0.32623420092034117
FHN,a,0.75,387.4774954990998,0.519271605639735,0.32602741426542103
FHN,a,0.75,387.57751550310064,0.5162182249270982,0.325806879130572
FHN,a,0.75,387.6775355071014,0.5130885537474814,0.3255691923566982
FHN,a,0.75,387.7775555111022,0.5098796766613456,0.32531168860115933
FHN,a,0.75,387.87757551510305,0.506588615569187,0.32503184116902956
FHN,a,0.75,387.97759551910383,0.5032123297115433,0.32472731578899855
FHN,a,0.75,388.0776155231046,0.49974771566898174,0.32439598062548497
FHN,a,0.75,388.17763552710545,0.49619160736210494,0.32403588034733055
FHN,a,0.75,388.27765553110623,0.4925407760515571,0.32364532994796313
FHN,a,0.75,388.377675535107,0.488791930338012,0.3232229433641571
FHN,a,0.75,388.4776955391078,0.4849417161621805,0.322767589491844
FHN,a,0.75,388.57771554310864,0.48098671680480704,0.32227824885060036
FHN,a,0.75,388.6777355471094,0.47692345288667815,0.32175417369338677
FHN,a,0.75,388.7777555511102,0.47274838236860905,0.3211948028021531
FHN,a,0.75,388.87777555511104,0.4684579005514505,0.32060004755117133
FHN,a,0.75,388.9777955591118,0.4640483400760955,0.3199701788472501
FHN,a,0.75,389.0778155631126,0.4595159709234659,0.3193063939091891
FHN,a,0.75,389.17783556711345,0.45485700041451826,0.31861052072863255
FHN,a,0.75,389.27785557111423,0.4500675732102528,0.31788399831567415
FHN,a,0.75,389.377875575115,0.44514377131169747,0.3171283162740244
FHN,a,0.75,389.47789557911585,0.44008161405991486,0.31634517823754327
