model,parameter,h,time,homo_trace,hetero_trace
JR,v0,1.0,0.396,2.5539263518403765,2.564575307085603
JR,v0,1.0,0.397,2.562081505991844,2.5725405532994
JR,v0,1.0,0.398,2.570196662870108,2.580480288901198
JR,v0,1.0,0.399,2.5782707716702085,2.5883956203576957
JR,v0,1.0,0.4,2.586304487883179,2.5962888926031367
JR,v0,1.0,0.401,2.594300173296044,2.6041636346507744
JR,v0,1.0,0.402,2.6022618959918202,2.6120241016962416
JR,v0,1.0,0.403,2.610195430349518,2.6198736625184824
JR,v0,1.0,0.404,2.6181082570441356,2.627714817327294
JR,v0,1.0,0.405,2.6260095630466678,2.635548695759644
JR,v0,1.0,0.406,2.6339095172615496,2.6433753082826272
JR,v0,1.0,0.40700000000000003,2.641805370192213,2.651194955212785
JR,v0,1.0,0.40800000000000003,2.6496900687316853,2.659008218390494
JR,v0,1.0,0.40900000000000003,2.657559687211334,2.666816561838192
JR,v0,1.0,0.41000000000000003,2.665411987948958,2.6746211224262515
JR,v0,1.0,0.41100000000000003,2.6732464212487907,2.682423594767714
JR,v0,1.0,0.41200000000000003,2.6810641254015013,2.690226802715969
JR,v0,1.0,0.41300000000000003,2.6888679266841913,2.6980347701193974
JR,v0,1.0,0.41400000000000003,2.6966623393603966,2.70585201409519
JR,v0,1.0,0.41500000000000004,2.7044535656800868,2.713681196147884
JR,v0,1.0,0.41600000000000004,2.712249495879665,2.7215250957494037
JR,v0,1.0,0.417,2.7200597081819704,2.7293847579660895
JR,v0,1.0,0.418,2.7278933342599396,2.737260438037227
JR,v0,1.0,0.419,2.7357447683564637,2.745152749323766
JR,v0,1.0,0.42,2.7436080732321866,2.7530627742338942
JR,v0,1.0,0.421,2.7514798102291134,2.760992421656208
JR,v0,1.0,0.422,2.759358256812804,2.768943187421163
JR,v0,1.0,0.423,2.7672434065723626,2.7769176786589806
JR,v0,1.0,0.424,2.775136969220448,2.784919380993009
JR,v0,1.0,0.425,2.783042370593265,2.792952905567442
JR,v0,1.0,0.426,2.7909647526505696,2.8010227370568903
JR,v0,1.0,0.427,2.798910973475667,2.809131567007849
JR,v0,1.0,0.428,2.806889607275413,2.817282483054197
JR,v0,1.0,0.429,2.814910944380212,2.8254767448972142
JR,v0,1.0,0.43,2.8229827842083584,2.8337152277309303
JR,v0,1.0,0.431,2.831098017886733,2.8419991286958477
JR,v0,1.0,0.432,2.8392515895687715,2.850330347624244
JR,v0,1.0,0.433,2.8474405539819703,2.8587113060148073
JR,v0,1.0,0.434,2.8556637921390093,2.867144402715336
JR,v0,1.0,0.435,2.8639220113377526,2.8756334142034556
JR,v0,1.0,0.436,2.872217745161249,2.8841830994386193
JR,v0,1.0,0.437,2.8805553534777344,2.892799008539348
JR,v0,1.0,0.438,2.888941022440625,2.9014854018134617
JR,v0,1.0,0.439,2.8973827644885257,2.91024585423831
JR,v0,1.0,0.44,2.9058904183452237,2.9190840101860323
JR,v0,1.0,0.441,2.914475649019694,2.928001840871828
JR,v0,1.0,0.442,2.923144494545016,2.937001269411766
